"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"nummer";"election";"potLoss_same90";"potGain_same90"
8;"1976-12-22";"1977-03-02";70;1;3;1;1;0;0;0
8;"1976-12-22";"1977-03-02";70;0;3;1;3;0;0;0
8;"1976-12-22";"1977-05-05";134;0;3;1;4;0;0;0
8;"1976-12-22";"1977-05-05";134;0;14;1;5;0;0;0
8;"1977-02-04";"1977-05-13";98;0;16;1;6;0;0;0
8;"1977-03-14";"1977-06-16";94;1;3;1;10;0;0;0
8;"1977-04-25";"1977-09-29";157;1;7;1;12;0;0;0
8;"1977-03-15";"1977-09-29";198;0;1;1;13;0;0;0
8;"1977-03-16";"1977-05-27";72;1;3;1;14;0;0;0
8;"1977-03-15";"1977-06-16";93;1;3;1;15;0;0;0
8;"1977-03-18";"1977-06-15";89;1;2;1;16;0;0;0
8;"1977-02-02";"1977-03-17";43;0;1;1;18;0;0;0
8;"1977-02-25";"1977-03-24";27;1;4;1;19;0;0;0
8;"1977-02-09";"1977-06-15";126;0;16;1;20;0;0;0
8;"1977-02-10";"1979-05-10";819;0;16;1;21;0;0;0
8;"1977-02-18";"1977-06-24";126;0;9;1;23;0;0;0
8;"1977-03-11";"1977-05-13";63;0;2;1;24;0;0;0
8;"1977-03-11";"1977-05-13";63;1;2;1;25;0;0;0
8;"1977-03-11";"1977-05-13";63;0;2;1;26;0;0;0
8;"1977-04-14";"1977-06-16";63;1;1;1;27;0;0;0
8;"1977-04-04";"1978-06-22";444;0;14;1;28;0;0;0
8;"1977-04-05";"1977-05-27";52;1;3;1;29;0;0;0
8;"1977-04-05";"1977-05-27";52;1;3;1;30;0;0;0
8;"1977-03-15";"1977-11-24";254;0;3;1;31;0;0;0
8;"1977-03-15";"1979-05-11";787;1;7;1;32;0;0;0
8;"1977-03-22";"1977-11-24";247;1;16;1;33;0;0;0
8;"1977-03-22";"1977-11-24";247;1;3;1;34;0;0;0
8;"1977-03-21";"1978-01-20";305;0;3;1;35;0;0;0
8;"1977-03-15";"1977-06-16";93;0;3;1;36;0;0;0
8;"1977-03-14";"1977-05-27";74;1;3;1;37;0;0;0
8;"1977-03-14";"1977-06-16";94;0;3;1;38;0;0;0
8;"1977-03-22";"1977-10-28";220;0;3;1;39;0;0;0
8;"1977-02-23";"1977-05-27";93;0;2;1;41;0;0;0
8;"1977-04-14";"1977-05-27";43;1;9;1;44;0;0;0
8;"1977-05-09";"1977-11-24";199;1;3;1;47;0;0;0
8;"1977-05-27";"1977-12-08";195;0;3;1;48;0;0;0
8;"1977-06-15";"1978-03-09";267;1;1;1;49;0;0;0
8;"1977-05-10";"1977-09-29";142;0;7;1;50;0;0;0
8;"1977-05-10";"1977-11-10";184;0;3;1;51;0;0;0
8;"1977-04-16";"1977-06-16";61;1;9;1;52;0;0;0
8;"1977-05-09";"1977-10-06";150;0;25;1;53;0;0;0
8;"1977-04-06";"1977-11-10";218;0;3;1;55;0;0;0
8;"1977-05-20";"1977-06-16";27;1;14;1;56;0;0;0
8;"1977-05-06";"1978-03-16";314;0;14;1;57;0;0;0
8;"1977-05-06";"1979-03-29";692;1;14;1;58;0;0;0
8;"1977-05-06";"1977-06-16";41;0;3;1;59;0;0;0
8;"1977-07-19";"1977-11-10";114;1;3;1;63;0;0;0
8;"1977-06-28";"1978-01-20";206;0;16;1;64;0;0;0
8;"1977-07-27";"1978-12-13";504;0;16;1;65;0;0;0
8;"1977-08-02";"1977-11-24";114;0;16;1;66;0;0;0
8;"1977-08-11";"1979-06-21";679;1;14;1;70;0;0;0
8;"1977-05-25";"1977-06-16";22;1;2;0;71;0;0;0
8;"1977-07-20";"1977-10-20";92;0;3;1;72;0;0;0
8;"1977-08-26";"1977-11-24";90;0;3;1;73;0;0;0
8;"1977-08-22";"1978-02-23";185;0;16;1;74;0;0;0
8;"1977-09-21";"1977-10-27";36;0;1;1;75;0;0;0
8;"1977-08-29";"1977-10-27";59;0;2;1;78;0;0;0
8;"1977-12-09";"1980-05-14";887;1;25;1;84;0;0;0
8;"1977-10-19";"1978-01-20";93;1;9;1;85;0;0;0
8;"1978-02-01";"1978-05-11";99;0;25;1;86;0;0;0
8;"1977-10-19";"1978-01-20";93;1;9;1;87;0;0;0
8;"1977-10-19";"1978-03-09";141;0;2;1;88;0;0;0
