"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election"
1;8;1976-12-22;1977-03-02;70;1;3;1;0
3;8;1976-12-22;1977-03-02;70;0;3;1;0
4;8;1976-12-22;1977-05-05;134;0;3;1;0
5;8;1976-12-22;1977-05-05;134;0;14;1;0
6;8;1977-02-04;1977-05-13;98;0;16;1;0
10;8;1977-03-14;1977-06-16;94;1;3;1;0
12;8;1977-04-25;1977-09-29;157;1;7;1;0
13;8;1977-03-15;1977-09-29;198;0;1;1;0
14;8;1977-03-16;1977-05-27;72;1;3;1;0
15;8;1977-03-15;1977-06-16;93;1;3;1;0
16;8;1977-03-18;1977-06-15;89;1;2;1;0
18;8;1977-02-02;1977-03-17;43;0;1;1;0
19;8;1977-02-25;1977-03-24;27;1;4;1;0
20;8;1977-02-09;1977-06-15;126;0;16;1;0
21;8;1977-02-10;1979-05-10;819;0;16;1;0
23;8;1977-02-18;1977-06-24;126;0;9;1;0
24;8;1977-03-11;1977-05-13;63;0;2;1;0
25;8;1977-03-11;1977-05-13;63;1;2;1;0
26;8;1977-03-11;1977-05-13;63;0;2;1;0
27;8;1977-04-14;1977-06-16;63;1;1;1;0
28;8;1977-04-04;1978-06-22;444;0;14;1;0
29;8;1977-04-05;1977-05-27;52;1;3;1;0
30;8;1977-04-05;1977-05-27;52;1;3;1;0
31;8;1977-03-15;1977-11-24;254;0;3;1;0
32;8;1977-03-15;1979-05-11;787;1;7;1;0
33;8;1977-03-22;1977-11-24;247;1;16;1;0
34;8;1977-03-22;1977-11-24;247;1;3;1;0
35;8;1977-03-21;1978-01-20;305;0;3;1;0
36;8;1977-03-15;1977-06-16;93;0;3;1;0
37;8;1977-03-14;1977-05-27;74;1;3;1;0
38;8;1977-03-14;1977-06-16;94;0;3;1;0
39;8;1977-03-22;1977-10-28;220;0;3;1;0
41;8;1977-02-23;1977-05-27;93;0;2;1;0
44;8;1977-04-14;1977-05-27;43;1;9;1;0
47;8;1977-05-09;1977-11-24;199;1;3;1;0
48;8;1977-05-27;1977-12-08;195;0;3;1;0
49;8;1977-06-15;1978-03-09;267;1;1;1;0
50;8;1977-05-10;1977-09-29;142;0;7;1;0
51;8;1977-05-10;1977-11-10;184;0;3;1;0
52;8;1977-04-16;1977-06-16;61;1;9;1;0
53;8;1977-05-09;1977-10-06;150;0;25;1;0
55;8;1977-04-06;1977-11-10;218;0;3;1;0
56;8;1977-05-20;1977-06-16;27;1;14;1;0
57;8;1977-05-06;1978-03-16;314;0;14;1;0
58;8;1977-05-06;1979-03-29;692;1;14;1;0
59;8;1977-05-06;1977-06-16;41;0;3;1;0
63;8;1977-07-19;1977-11-10;114;1;3;1;0
64;8;1977-06-28;1978-01-20;206;0;16;1;0
65;8;1977-07-27;1978-12-13;504;0;16;1;0
66;8;1977-08-02;1977-11-24;114;0;16;1;0
70;8;1977-08-11;1979-06-21;679;1;14;1;0
71;8;1977-05-25;1977-06-16;22;1;2;0;0
72;8;1977-07-20;1977-10-20;92;0;3;1;0
73;8;1977-08-26;1977-11-24;90;0;3;1;0
74;8;1977-08-22;1978-02-23;185;0;16;1;0
75;8;1977-09-21;1977-10-27;36;0;1;1;0
78;8;1977-08-29;1977-10-27;59;0;2;1;0
84;8;1977-12-09;1980-05-14;887;1;25;1;0
85;8;1977-10-19;1978-01-20;93;1;9;1;0
86;8;1978-02-01;1978-05-11;99;0;25;1;0
87;8;1977-10-19;1978-01-20;93;1;9;1;0
88;8;1977-10-19;1978-03-09;141;0;2;1;0
89;8;1977-10-19;1977-11-24;36;1;3;1;0
90;8;1977-10-19;1977-12-15;57;1;3;1;0
91;8;1977-10-17;1977-11-10;24;0;25;1;0
92;8;1977-12-15;1980-05-13;880;0;16;1;0
93;8;1977-11-23;1978-09-28;309;0;14;1;0
94;8;1977-10-14;1977-12-15;62;0;3;1;0
95;8;1978-01-20;1978-04-20;90;1;7;1;0
96;8;1977-10-18;1978-03-09;142;1;1;1;0
97;8;1977-10-18;1977-12-15;58;1;3;1;0
98;8;1977-10-18;1977-12-15;58;1;3;1;0
99;8;1977-11-29;1978-03-16;107;0;7;1;0
100;8;1977-10-18;1978-02-16;121;0;3;1;0
102;8;1977-10-04;1978-06-08;247;0;16;1;0
103;8;1977-10-04;1978-03-16;163;0;14;1;0
104;8;1977-09-30;1978-06-23;266;1;1;1;0
105;8;1977-09-13;1977-10-06;23;1;9;1;0
106;8;1977-10-03;1977-10-06;3;NA;9;0;0
107;8;1978-01-05;1978-05-11;126;1;9;1;0
