"";"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election";"potLoss_same90";"potGain_same90"
"1";1;8;"1976-12-22";"1977-03-02";70;1;3;1;0;0;0
"2";3;8;"1976-12-22";"1977-03-02";70;0;3;1;0;0;0
"3";4;8;"1976-12-22";"1977-05-05";134;0;3;1;0;0;0
"4";5;8;"1976-12-22";"1977-05-05";134;0;14;1;0;0;0
"5";6;8;"1977-02-04";"1977-05-13";98;0;16;1;0;0;0
"6";10;8;"1977-03-14";"1977-06-16";94;1;3;1;0;0;0
"7";12;8;"1977-04-25";"1977-09-29";157;1;7;1;0;0;0
"8";13;8;"1977-03-15";"1977-09-29";198;0;1;1;0;0;0
"9";14;8;"1977-03-16";"1977-05-27";72;1;3;1;0;0;0
"10";15;8;"1977-03-15";"1977-06-16";93;1;3;1;0;0;0
"11";16;8;"1977-03-18";"1977-06-15";89;1;2;1;0;0;0
"12";18;8;"1977-02-02";"1977-03-17";43;0;1;1;0;0;0
"13";19;8;"1977-02-25";"1977-03-24";27;1;4;1;0;0;0
"14";20;8;"1977-02-09";"1977-06-15";126;0;16;1;0;0;0
"15";21;8;"1977-02-10";"1979-05-10";819;0;16;1;0;0;0
"16";23;8;"1977-02-18";"1977-06-24";126;0;9;1;0;0;0
"17";24;8;"1977-03-11";"1977-05-13";63;0;2;1;0;0;0
"18";25;8;"1977-03-11";"1977-05-13";63;1;2;1;0;0;0
"19";26;8;"1977-03-11";"1977-05-13";63;0;2;1;0;0;0
"20";27;8;"1977-04-14";"1977-06-16";63;1;1;1;0;0;0
"21";28;8;"1977-04-04";"1978-06-22";444;0;14;1;0;0;0
"22";29;8;"1977-04-05";"1977-05-27";52;1;3;1;0;0;0
"23";30;8;"1977-04-05";"1977-05-27";52;1;3;1;0;0;0
"24";31;8;"1977-03-15";"1977-11-24";254;0;3;1;0;0;0
"25";32;8;"1977-03-15";"1979-05-11";787;1;7;1;0;0;0
"26";33;8;"1977-03-22";"1977-11-24";247;1;16;1;0;0;0
"27";34;8;"1977-03-22";"1977-11-24";247;1;3;1;0;0;0
"28";35;8;"1977-03-21";"1978-01-20";305;0;3;1;0;0;0
"29";36;8;"1977-03-15";"1977-06-16";93;0;3;1;0;0;0
"30";37;8;"1977-03-14";"1977-05-27";74;1;3;1;0;0;0
"31";38;8;"1977-03-14";"1977-06-16";94;0;3;1;0;0;0
"32";39;8;"1977-03-22";"1977-10-28";220;0;3;1;0;0;0
"33";41;8;"1977-02-23";"1977-05-27";93;0;2;1;0;0;0
"34";44;8;"1977-04-14";"1977-05-27";43;1;9;1;0;0;0
"35";47;8;"1977-05-09";"1977-11-24";199;1;3;1;0;0;0
"36";48;8;"1977-05-27";"1977-12-08";195;0;3;1;0;0;0
"37";49;8;"1977-06-15";"1978-03-09";267;1;1;1;0;0;0
"38";50;8;"1977-05-10";"1977-09-29";142;0;7;1;0;0;0
"39";51;8;"1977-05-10";"1977-11-10";184;0;3;1;0;0;0
"40";52;8;"1977-04-16";"1977-06-16";61;1;9;1;0;0;0
"41";53;8;"1977-05-09";"1977-10-06";150;0;25;1;0;0;0
"42";55;8;"1977-04-06";"1977-11-10";218;0;3;1;0;0;0
"43";56;8;"1977-05-20";"1977-06-16";27;1;14;1;0;0;0
"44";57;8;"1977-05-06";"1978-03-16";314;0;14;1;0;0;0
